course_id,course_code,course_name,category,programme,year,semester,batch,credits,course_type,theory_hours,lab_hours,tutorial_hours,total_weekly_hours,faculty_assigned,enrollment,prerequisite,co_requisite,assessment_pattern
1,UGMA11FOEB1,Foundations of Education,Major,FYUP,1,1,Batch-1,5,Theory,5,0,1,6,Dr. Nisha Verma,77,,,Continuous Assessment (40%) + End-term (60%)
2,UGMA11DEIB1,Distance Education II,Major,FYUP,1,1,Batch-1,5,Theory,5,0,1,6,Dr. Preeti Jain,88,Basic Distance,,Mid-term (30%) + End-term (50%) + Assignment (20%)
3,UGMA11CAPB1,Curriculum and Pedagogy III,Major,FYUP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Brijesh Tiwari,86,,,Continuous Assessment (40%) + End-term (60%)
4,UGMA11GIB1,Geography IV,Major,FYUP,1,1,Batch-1,4,Theory,4,0,1,5,Prof. Raman Patel,70,,,Practical (60%) + Theory (40%)
5,UGMA11CFVB1,Corporate Finance V,Major,FYUP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Mukesh Yadav,80,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
6,UGMA11LIB1,Literature I,Major,FYUP,1,1,Batch-1,4,Theory,4,0,1,5,Dr. Suman Devi,89,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
7,UGMI11DSB1,Development Studies,Minor,FYUP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Sunil Bhatt,49,,,Project (50%) + Presentation (30%) + Viva (20%)
8,UGMI11CRIB1,Comparative Religion II,Minor,FYUP,1,1,Batch-1,4,Theory,4,0,1,5,Dr. Sadhna Mishra,52,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
9,UGMI11DHIB1,Digital Humanities III,Minor,FYUP,1,1,Batch-1,4,Theory,4,0,1,5,Dr. Lakshmi Narayan,47,,,Continuous Assessment (40%) + End-term (60%)
10,UGMI11PAIB1,Public Administration IV,Minor,FYUP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Raman Patel,50,,,Continuous Assessment (40%) + End-term (60%)
11,UGMI11BEVB1,Behavioral Economics V,Minor,FYUP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Rakesh Gupta,46,,,Continuous Assessment (40%) + End-term (60%)
12,UGSK11CEB1,Community Engagement,Skill-Based,FYUP,1,1,Batch-1,2,Practical,1,0,1,2,Prof. Ramesh Singh,33,Basic Community,,Project (50%) + Presentation (30%) + Viva (20%)
13,UGSK11VASB1,Volunteering and Service Learning II,Skill-Based,FYUP,1,1,Batch-1,2,Practical,1,0,1,2,Prof. Pankaj Verma,28,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
14,UGSK11CTIB1,Critical Thinking III,Skill-Based,FYUP,1,1,Batch-1,3,Practical,2,0,1,3,Dr. Kiran Singh,28,,,Project (50%) + Presentation (30%) + Viva (20%)
15,UGSK11FL(B1,Foreign Language (Japanese) IV,Skill-Based,FYUP,1,1,Batch-1,3,Practical,2,0,1,3,Prof. Tarun Kumar,36,Basic Foreign,,Continuous Assessment (40%) + End-term (60%)
16,UGSK11FLVB1,Financial Literacy V,Skill-Based,FYUP,1,1,Batch-1,2,Practical,1,0,1,2,Prof. Subhash Goel,34,,,Practical (60%) + Theory (40%)
17,UGAE11CFB1,Computer Fundamentals,AEC,FYUP,1,1,Batch-1,3,Lab,2,2,0,4,Dr. Vidya Sagar,29,Basic Computer,,Mid-term (30%) + End-term (50%) + Assignment (20%)
18,UGAE11HCIB1,Hindi Communication II,AEC,FYUP,1,1,Batch-1,2,Theory,2,0,0,2,Prof. Vinod Sharma,36,,,Practical (60%) + Theory (40%)
19,UGAE11RLIB1,Regional Language III,AEC,FYUP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Bhushan Patel,35,Basic Regional,,Project (50%) + Presentation (30%) + Viva (20%)
20,UGAE11AIIB1,Academic Integrity IV,AEC,FYUP,1,1,Batch-1,2,Theory,2,0,0,2,Prof. Ravi Krishnan,34,,,Project (50%) + Presentation (30%) + Viva (20%)
21,UGAE11ESVB1,Environmental Studies V,AEC,FYUP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Ajit Gupta,30,Basic Environmental,,Mid-term (30%) + End-term (50%) + Assignment (20%)
22,UGVA11CHB1,Cultural Heritage,VAC,FYUP,1,1,Batch-1,1,Theory,1,0,0,1,Prof. Pramod Mishra,36,,,Continuous Assessment (40%) + End-term (60%)
23,UGVA11CVIB1,Constitutional Values II,VAC,FYUP,1,1,Batch-1,2,Theory,2,0,0,2,Prof. Ramesh Singh,34,,,Project (50%) + Presentation (30%) + Viva (20%)
24,UGVA11WMIB1,Waste Management III,VAC,FYUP,1,1,Batch-1,1,Theory,1,0,0,1,Dr. Anjali Thakur,32,,,Continuous Assessment (40%) + End-term (60%)
25,UGVA11YAMB1,Yoga and Meditation IV,VAC,FYUP,1,1,Batch-1,1,Theory,1,0,0,1,Dr. Shweta Saxena,28,Basic Yoga,,Mid-term (30%) + End-term (50%) + Assignment (20%)
26,UGVA11CAVB1,Climate Action V,VAC,FYUP,1,1,Batch-1,1,Theory,1,0,0,1,Dr. Divya Menon,34,,,Project (50%) + Presentation (30%) + Viva (20%)
27,UGMA12SB1,Sociology,Major,FYUP,1,2,Batch-1,5,Theory,5,0,1,6,Prof. Anil Kumar,79,Basic Sociology,,Project (50%) + Presentation (30%) + Viva (20%)
28,UGMA12AHIB1,Ancient History II,Major,FYUP,1,2,Batch-1,4,Theory,4,0,1,5,Dr. Nidhi Goyal,77,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
29,UGMA12AIB1,Accounting III,Major,FYUP,1,2,Batch-1,5,Theory,5,0,1,6,Dr. Lakshmi Narayan,88,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
30,UGMA12EMIB1,Educational Measurement IV,Major,FYUP,1,2,Batch-1,5,Theory,5,0,1,6,Prof. Varun Chopra,77,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
31,UGMA12EVB1,Economics V,Major,FYUP,1,2,Batch-1,5,Theory,5,0,1,6,Dr. Sudha Rani,78,Basic Economics,,Continuous Assessment (40%) + End-term (60%)
32,UGMA12PCIB1,Physical Chemistry I,Major,FYUP,1,2,Batch-1,5,Theory,5,0,1,6,Prof. Mukesh Agarwal,77,Basic Physical,,Practical (60%) + Theory (40%)
33,UGMI12SWB1,Social Work,Minor,FYUP,1,2,Batch-1,2,Theory,2,0,0,2,Dr. Seema Chandra,49,,,Practical (60%) + Theory (40%)
34,UGMI12ORIB1,Operations Research II,Minor,FYUP,1,2,Batch-1,3,Theory,3,0,1,4,Prof. Kiran Desai,54,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
35,UGMI12GTIB1,Game Theory III,Minor,FYUP,1,2,Batch-1,4,Theory,4,0,1,5,Dr. Bindu Agrawal,43,,,Continuous Assessment (40%) + End-term (60%)
36,UGMI12SWIB1,Social Work IV,Minor,FYUP,1,2,Batch-1,4,Theory,4,0,1,5,Dr. Pushpa Jain,44,Basic Social,,Continuous Assessment (40%) + End-term (60%)
37,UGMI12ISVB1,Information Science V,Minor,FYUP,1,2,Batch-1,3,Theory,3,0,1,4,Prof. Subhash Goel,43,Basic Information,,Mid-term (30%) + End-term (50%) + Assignment (20%)
38,UGSK12PSB1,Public Speaking,Skill-Based,FYUP,1,2,Batch-1,2,Practical,1,0,1,2,Prof. Ashok Yadav,30,,,Practical (60%) + Theory (40%)
39,UGSK12CCIB1,Content Creation II,Skill-Based,FYUP,1,2,Batch-1,3,Practical,2,0,1,3,Dr. Archana Singh,32,,,Continuous Assessment (40%) + End-term (60%)
40,UGSK12SMIB1,Stress Management III,Skill-Based,FYUP,1,2,Batch-1,2,Practical,1,0,1,2,Prof. Rohit Singh,31,Basic Stress,,Project (50%) + Presentation (30%) + Viva (20%)
41,UGSK12PSIB1,Presentation Skills IV,Skill-Based,FYUP,1,2,Batch-1,3,Practical,2,0,1,3,Prof. Vinod Sharma,30,,,Continuous Assessment (40%) + End-term (60%)
42,UGSK12PSVB1,Public Speaking V,Skill-Based,FYUP,1,2,Batch-1,2,Practical,1,0,1,2,Dr. Sushma Goyal,28,,,Practical (60%) + Theory (40%)
